,FirstName,LastName,Team,Position,Age,Height,Weight,College,Salary
429,Pat,Connaughton,Portland Trail Blazers,SG,23.0,6-5,206.0,Notre Dame,625093.0
430,Allen,Crabbe,Portland Trail Blazers,SG,24.0,6-6,210.0,California,947276.0
431,Ed,Davis,Portland Trail Blazers,C,27.0,6-10,240.0,North Carolina,6980802.0
432,Maurice,Harkless,Portland Trail Blazers,SF,23.0,6-9,215.0,St. John's,2894059.0
433,Gerald,Henderson,Portland Trail Blazers,SG,28.0,6-5,215.0,Duke,6000000.0
434,Chris,Kaman,Portland Trail Blazers,C,34.0,7-0,265.0,Central Michigan,5016000.0
435,Meyers,Leonard,Portland Trail Blazers,PF,24.0,7-1,245.0,Illinois,3075880.0
436,Damian,Lillard,Portland Trail Blazers,PG,25.0,6-3,195.0,Weber State,4236287.0
437,C.J.,McCollum,Portland Trail Blazers,SG,24.0,6-4,200.0,Lehigh,2525160.0
438,Luis,Montero,Portland Trail Blazers,SG,23.0,6-7,185.0,Westchester CC,525093.0
439,Mason,Plumlee,Portland Trail Blazers,C,26.0,6-11,235.0,Duke,1415520.0
440,Brian,Roberts,Portland Trail Blazers,PG,30.0,6-1,173.0,Dayton,2854940.0
441,Noah,Vonleh,Portland Trail Blazers,PF,20.0,6-9,240.0,Indiana,2637720.0
442,Trevor,Booker,Utah Jazz,PF,28.0,6-8,228.0,Clemson,4775000.0
443,Trey,Burke,Utah Jazz,PG,23.0,6-1,191.0,Michigan,2658240.0
444,Alec,Burks,Utah Jazz,SG,24.0,6-6,214.0,Colorado,9463484.0
445,Dante,Exum,Utah Jazz,PG,20.0,6-6,190.0,,3777720.0
446,Derrick,Favors,Utah Jazz,PF,24.0,6-10,265.0,Georgia Tech,12000000.0
447,Rudy,Gobert,Utah Jazz,C,23.0,7-1,245.0,,1175880.0
448,Gordon,Hayward,Utah Jazz,SF,26.0,6-8,226.0,Butler,15409570.0
449,Rodney,Hood,Utah Jazz,SG,23.0,6-8,206.0,Duke,1348440.0
450,Joe,Ingles,Utah Jazz,SF,28.0,6-8,226.0,,2050000.0
451,Chris,Johnson,Utah Jazz,SF,26.0,6-6,206.0,Dayton,981348.0
452,Trey,Lyles,Utah Jazz,PF,20.0,6-10,234.0,Kentucky,2239800.0
453,Shelvin,Mack,Utah Jazz,PG,26.0,6-3,203.0,Butler,2433333.0
454,Raul,Neto,Utah Jazz,PG,24.0,6-1,179.0,,900000.0
455,Tibor,Pleiss,Utah Jazz,C,26.0,7-3,256.0,,2900000.0
456,Jeff,Withey,Utah Jazz,C,26.0,7-0,231.0,Kansas,947276.0
